Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Sant Ramon - Maternitat;81;;1;1.150 _;µtico
Sagrada Fam¡lia;45;;1;775 _;Piso
Les Corts;80;3;1;950 _;Piso
Les Corts;75;4;1;800 _;Piso
Congr‚s - Indians;71;2;1;1.050 _;Piso
Camp dïen Grassot - Gr…cia N.;90;3;1;995 _;Piso
Sagrada Fam¡lia;83;3;1;1.150 _;Piso
G•tic;128;3;2;1.100 _;Piso
Dreta de lïEixample;50;2;1;920 _;Piso
Guinard¢;70;3;1;900 _;Piso
Sant Ramon - Maternitat;100;2;1;1.500 _;Piso
Esquerra Alta de lïEixample;98;4;1;1.100 _;Piso
Sagrada Fam¡lia;68;;1;1.100 _;Piso
Guinard¢;87;3;1;1.100 _;Piso
Raval;80;3;2;875 _;Piso
La Bordeta;150;4;2;2.100 _;Piso
St. Pere - Sta. Caterina - El Born;50;;1;795 _;Piso
Esquerra Alta de lïEixample;68;2;1;890 _;Piso
Esquerra Baixa de lïEixample;120;4;2;1.400 _;Piso
Sant Gervasi - Galvany;260;4;4;5.400 _;µtico
